statefip,immig_status,n,population,state_abb
47,Illegal immigrants,90,282924.27345725236,TN
47,Legal immigrants,110,241252.92,TN
47,Native-born citizens,2429,6625192.61,TN
48,Illegal immigrants,724,2331543.4952987707,TX
48,Legal immigrants,1297,3727098.62,TX
48,Native-born citizens,7379,25153958.37,TX
49,Illegal immigrants,133,174562.3926456138,UT
49,Legal immigrants,158,188820.08,UT
49,Native-born citizens,2200,3151474.85,UT
50,Illegal immigrants,13,6341.571726427406,VT
50,Legal immigrants,92,34456.79,VT
50,Native-born citizens,1593,601250.25,VT
51,Illegal immigrants,115,397329.3722382414,VA
51,Legal immigrants,326,888196.47,VA
51,Native-born citizens,2261,7437007.33,VA
53,Illegal immigrants,130,362628.5440769432,WA
53,Legal immigrants,397,1021762.25,WA
53,Native-born citizens,2186,6642042.8,WA
54,Illegal immigrants,15,7813.248540518656,WV
54,Legal immigrants,48,24929.510000000002,WV
54,Native-born citizens,2786,1690702.53,WV
55,Illegal immigrants,48,137713.94875768432,WI
55,Legal immigrants,88,254839.15,WI
55,Native-born citizens,1702,5464111.89,WI
56,Illegal immigrants,15,4820.356009348337,WY
56,Legal immigrants,67,19298.81,WY
56,Native-born citizens,1732,551807.46,WY
