immig_status,disabled,population,pct
Illegal immigrants,700293.7899086069,13122432.614831151,5.336615629613715
Legal immigrants,4954743,37975484,13.047214882106573
Native-born citizens,42371405,289833257,14.619235017601861
All immigrants,5655036.789908607,51097916.61483115,11.06705941170845
