immig_status,n,population,pct_ss,pct_ssi,pct_other,pct_any
Illegal immigrants,150,365953.6326196497,0,0,0.3924983913596778,0.3924983913596778
Legal immigrants,1455,3528649.62,9.917757150396813,7.463302916428409,2.2881186486291036,17.307030047375456
Native-born citizens,12874,31199006.03,12.252454217048658,8.935146643195798,3.6465440242103764,21.35633761406725
All immigrants,1605,3894603.2526196497,8.985842133331616,6.7620189507842365,2.109998035509262,15.717668075930625
