immig_status,n,population,pct_ss,pct_ssi,pct_other,pct_any
Illegal immigrants,5769,15017156.778388048,0,0,0.26315091292855514,0.26315091292855514
Legal immigrants,14853,36355811.5,1.794812942079425,1.4243948591272677,0.7516508880567829,3.5764291219300666
Native-born citizens,93348,226898891.65,2.78550812392212,1.9639604925324454,1.128496720005904,5.111934917642424
All immigrants,20622,51372968.278388046,1.2701598367141778,1.008021002784558,0.6088543754436434,2.6079038452638126
