immig_status,n,population,disab_population,percapita_ss,percapita_ssi,percapita_other,percapita_any
Illegal immigrants,5769,15017156.778388048,365953.6326196497,0,0,30.275264275781982,30.275264275781982
Legal immigrants,14853,36355811.5,3528649.62,325.0588930916863,138.3662250908634,105.4270879069774,568.852206089527
Native-born citizens,93348,226898891.65,31199006.03,494.92662208180514,211.40926452145584,172.59734086457797,878.933227467839
All immigrants,20622,51372968.278388046,3894603.2526196497,230.03887530111024,97.91952005012395,83.45898375664349,411.41737910787765
