statefip,immig_status,n,population,state_abb
1,Illegal immigrants,48,79274.19173262476,AL
1,Legal immigrants,81,121655.31,AL
1,Native-born citizens,2601,4806534.07,AL
2,Illegal immigrants,30,14031.765931313686,AK
2,Legal immigrants,110,43082.86,AK
2,Native-born citizens,1567,664001.88,AK
4,Illegal immigrants,108,305309.79476740136,AZ
4,Legal immigrants,399,994607.41,AZ
4,Native-born citizens,1924,5947502.44,AZ
5,Illegal immigrants,85,92029.16305346003,AR
5,Legal immigrants,84,80335,AR
5,Native-born citizens,2338,2845672.06,AR
6,Illegal immigrants,1278,3378034.7477179887,CA
6,Legal immigrants,3203,7918640.1,CA
6,Native-born citizens,9717,27494016.54,CA
8,Illegal immigrants,79,246074.37894121627,CO
8,Legal immigrants,144,397361.73,CO
8,Native-born citizens,1637,5260587.8,CO
9,Illegal immigrants,55,130989.66870134106,CT
9,Legal immigrants,210,462096.56,CT
9,Native-born citizens,1219,3035036.99,CT
10,Illegal immigrants,49,32026.30119236155,DE
10,Legal immigrants,151,85035.83,DE
10,Native-born citizens,1477,919882,DE
11,Illegal immigrants,82,25900.0242044096,DC
11,Legal immigrants,193,58996.9,DC
11,Native-born citizens,1648,595250.71,DC
12,Illegal immigrants,425,1372028.7522245564,FL
12,Legal immigrants,1443,4037678.64,FL
12,Native-born citizens,5033,17396724.12,FL
13,Illegal immigrants,159,547654.2824012702,GA
13,Legal immigrants,282,872712.73,GA
13,Native-born citizens,2690,9668458.1,GA
15,Illegal immigrants,81,51627.0924955868,HI
15,Legal immigrants,381,195886.85,HI
15,Native-born citizens,2113,1173021.78,HI
16,Illegal immigrants,89,56282.434014871884,ID
16,Legal immigrants,123,76883.4,ID
16,Native-born citizens,2514,1828810.13,ID
17,Illegal immigrants,189,559998.9998448016,IL
17,Legal immigrants,453,1346758.07,IL
17,Native-born citizens,3226,10672548.37,IL
18,Illegal immigrants,57,181280.74990865696,IN
18,Legal immigrants,133,354538.69,IN
18,Native-born citizens,2135,6333114.23,IN
19,Illegal immigrants,54,90471.90741498227,IA
19,Legal immigrants,79,131381.8,IA
19,Native-born citizens,1442,2979033.71,IA
20,Illegal immigrants,60,83914.65116856528,KS
20,Legal immigrants,116,163305.46,KS
20,Native-born citizens,1579,2647851.33,KS
21,Illegal immigrants,51,164109.6931965795,KY
21,Legal immigrants,55,144453.91,KY
21,Native-born citizens,1404,4161100.53,KY
22,Illegal immigrants,98,145236.419785458,LA
22,Legal immigrants,130,165336.92,LA
22,Native-born citizens,2946,4188937.77,LA
23,Illegal immigrants,2,6698.86719371207,ME
23,Legal immigrants,27,35213.21,ME
23,Native-born citizens,880,1357530.44,ME
24,Illegal immigrants,117,403085.4990962513,MD
24,Legal immigrants,240,803124.22,MD
24,Native-born citizens,1388,5048670.42,MD
25,Illegal immigrants,121,269569.43092843244,MA
25,Legal immigrants,557,1142972.58,MA
25,Native-born citizens,2405,5542094.93,MA
26,Illegal immigrants,60,158930.55513061956,MI
26,Legal immigrants,255,740471.3,MI
26,Native-born citizens,2765,9056964.63,MI
27,Illegal immigrants,46,121830.58673293752,MN
27,Legal immigrants,154,398065.53,MN
27,Native-born citizens,1730,5285320.61,MN
28,Illegal immigrants,31,39404.69764528191,MS
28,Legal immigrants,46,43095.27,MS
28,Native-born citizens,2324,2824345.91,MS
29,Illegal immigrants,33,116167.80539203499,MO
29,Legal immigrants,75,206354.77,MO
29,Native-born citizens,1862,5759728.32,MO
30,Illegal immigrants,18,8052.944325067212,MT
30,Legal immigrants,40,17390.92,MT
30,Native-born citizens,2291,1109386.38,MT
31,Illegal immigrants,78,82319.09571364832,NE
31,Legal immigrants,124,124300.9,NE
31,Native-born citizens,1491,1765534.88,NE
32,Illegal immigrants,151,181531.13354548768,NV
32,Legal immigrants,346,463080.18,NV
32,Native-born citizens,1686,2602487.5,NV
33,Illegal immigrants,10,9724.305761650267,NH
33,Legal immigrants,99,81192.66,NH
33,Native-born citizens,1453,1278002.41,NH
34,Illegal immigrants,196,612389.9470219426,NJ
34,Legal immigrants,608,1801864.34,NJ
34,Native-born citizens,2027,6873704.56,NJ
35,Illegal immigrants,77,62115.014948499775,NM
35,Legal immigrants,212,156371.46,NM
35,Native-born citizens,2197,1867861.26,NM
36,Illegal immigrants,197,720896.3328948254,NY
36,Legal immigrants,1098,3705819.35,NY
36,Native-born citizens,3956,14885902.46,NY
37,Illegal immigrants,227,580308.6798750545,NC
37,Legal immigrants,252,661969.73,NC
37,Native-born citizens,3106,9620467.37,NC
38,Illegal immigrants,30,14407.275665057283,ND
38,Legal immigrants,57,22051.43,ND
38,Native-born citizens,1812,747334.68,ND
39,Illegal immigrants,70,215369.10941277395,OH
39,Legal immigrants,170,554845.38,OH
39,Native-born citizens,3200,10838663.13,OH
40,Illegal immigrants,83,140041.4141186536,OK
40,Legal immigrants,119,188029.1,OK
40,Native-born citizens,1888,3636396.01,OK
