statefip,immig_status,n,population,state_abb
41,Illegal immigrants,90,153283.16806080227,OR
41,Legal immigrants,177,308416.65,OR
41,Native-born citizens,1913,3784358.28,OR
42,Illegal immigrants,86,272364.38821583777,PA
42,Legal immigrants,327,1020553.5,PA
42,Native-born citizens,3372,11363220.22,PA
44,Illegal immigrants,41,34528.191427598664,RI
44,Legal immigrants,155,135103.5,RI
44,Native-born citizens,947,897584.03,RI
45,Illegal immigrants,86,171294.71393319874,SC
45,Legal immigrants,140,250227.69,SC
45,Native-born citizens,2289,4950781.54,SC
46,Illegal immigrants,5,3337.18894083046,SD
46,Legal immigrants,29,16340.03,SD
46,Native-born citizens,1485,874869.97,SD
47,Illegal immigrants,73,174470.4940732653,TN
47,Legal immigrants,118,290312.06,TN
47,Native-born citizens,2475,6644808.47,TN
48,Illegal immigrants,816,2398694.0004492155,TX
48,Legal immigrants,1347,3689820.97,TX
48,Native-born citizens,7589,24346059.8,TX
49,Illegal immigrants,121,166578.2255823303,UT
49,Legal immigrants,145,178034.15,UT
49,Native-born citizens,2181,3070118.24,UT
50,Illegal immigrants,14,5281.1137006863,VT
50,Legal immigrants,75,25581.97,VT
50,Native-born citizens,1641,605243.37,VT
51,Illegal immigrants,97,287819.1785826317,VA
51,Legal immigrants,347,973031.92,VA
51,Native-born citizens,2207,7408405.09,VA
53,Illegal immigrants,118,348247.1415222348,WA
53,Legal immigrants,330,896660.5599999999,WA
53,Native-born citizens,2259,6679297.55,WA
54,Illegal immigrants,11,5506.244682862029,WV
54,Legal immigrants,31,16098.15,WV
54,Native-born citizens,2555,1727730.39,WV
55,Illegal immigrants,41,99867.89816446288,WI
55,Legal immigrants,80,184006.35,WI
55,Native-born citizens,1950,5482421.31,WI
56,Illegal immigrants,21,4952.297058091813,WY
56,Legal immigrants,57,13981.93,WY
56,Native-born citizens,1880,552364.06,WY
